name,operator,city,country,lat,lon,geo_precision,status,note,source,url
AWS US-East-1,Amazon,"Loudoun County, VA",US,39.043800,-77.487400,town,operational,Core AWS AI/ML region with Trainium & Inferentia chips. 'Data Center Alley.',AWS Global Infrastructure page; Loudoun County zoning records,https://www.brockovichdatacenter.com/
AWS Umatilla,Amazon,"Boardman/Umatilla, OR",US,45.672100,-119.716700,town,operational,Site of the $20.5M pollution settlement with Morrow County residents (2026).,Morrow County class action (2026); Yahoo Finance; The Oregonian,https://www.brockovichdatacenter.com/
Google Lenoir,Google,"Lenoir, NC",US,35.913900,-81.539300,town,operational,North Carolina Google campus expanded for AI compute.,Google blog; Charlotte Business Journal,https://www.brockovichdatacenter.com/
Microsoft Boydton,Microsoft,"Boydton, VA",US,36.665900,-78.392800,town,operational,"Microsoft's largest East Coast Azure campus, operational since 2010.",Microsoft news; Richmond Times-Dispatch,https://www.brockovichdatacenter.com/
Apple Maiden,Apple,"Maiden, NC",US,35.582900,-81.209500,town,operational,Apple's iCloud and AI services datacenter.,Apple press releases; Charlotte Observer,https://www.brockovichdatacenter.com/
Apple Reno,Apple,"Reno, NV",US,39.579600,-119.742600,town,operational,Apple's Nevada cloud & AI services data center.,Apple newsroom; Reno Gazette-Journal,https://www.brockovichdatacenter.com/
Oracle Ashburn,Oracle,"Ashburn, VA",US,39.043700,-77.485900,town,operational,Oracle Cloud US East region — part of Data Center Alley.,Oracle press; Loudoun County records,https://www.brockovichdatacenter.com/
CoreWeave Plano,CoreWeave,"Plano, TX",US,33.019800,-96.698900,town,operational,GPU-cloud provider dedicated to AI training & inference.,CoreWeave press / S-1 filing; Dallas Morning News,https://www.brockovichdatacenter.com/
Applied Digital Polaris Forge 1,Applied Digital (with CoreWeave),"Ellendale, ND",US,46.004200,-98.531400,town,operational,"First 100 MW building online since late Oct 2025; 150 MW building 2 under construction (mid-2026 ready); building 3 financed (May 2026, $300M Goldman bridge). Full campus: 3 buildings / 400 MW / ~$5B total. CoreWeave anchor tenant.",Applied Digital press; Data Center Dynamics; North Dakota Monitor,https://www.brockovichdatacenter.com/
Project Jupiter (Stargate),Oracle + OpenAI (Stack Infrastructure / BorderPlex),"Santa Teresa, NM (Doña Ana Co)",US,31.873000,-106.645000,town,construction,"$165B Stargate campus near El Paso — up to $50B in first 5 yrs, ~818 acres, 4 hyperscale buildings. Oracle is tenant, hosting AI infrastructure for OpenAI. April 2026: switched from gas turbines/diesel to a single microgrid of up to 2.45 GW Bloom Energy fuel cells (~92% lower NOx, negligible water) plus closed-loop cooling. Construction began late 2025; core build-out targeted 2028. 2,500 construction jobs / 750 permanent.","Oracle/Bloom Energy press (Apr 27, 2026); Data Center Dynamics; El Paso Matters; Source New Mexico",https://www.brockovichdatacenter.com/
Microsoft Douglas County,Microsoft,"Douglasville, GA",US,33.700700,-84.762100,town,construction,New Microsoft AI region being built in metro Atlanta.,Microsoft news; Atlanta Journal-Constitution,https://www.brockovichdatacenter.com/
Google Mesa,Google,"Mesa, AZ",US,33.415200,-111.831500,town,construction,New Google AI/cloud campus under construction in Arizona.,Google blog; AZ Central,https://www.brockovichdatacenter.com/
AWS Madison County,Amazon,"Madison County, MS",US,32.645700,-90.037300,town,construction,"Anchor of AWS's $25B Mississippi commitment. Madison County portion expanded to ~$11B in April 2026. Part of a 2,000-job statewide build-out.",About Amazon (Apr 2026); Mississippi Development Authority; DCD; Clarion Ledger,https://www.brockovichdatacenter.com/
