asset_id,dependency_asset_id,field,value,note,edited
load-nyiso-1743,sub-moses,secondary_feed,sub-moses,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). NYISO queue #1743 POI verbatim: ""NYPA's 230kV Moses Massena 1 (MMS-1) and 230kV Moses Massena 2 (MMS-2)"" - a redundant second circuit that lands on the same Moses switchyard, so the feeds share the substation. Skeptic correction on the record: the MMS pair runs Moses<->Massena 765/230, and which end serves the load is not stated in the queue. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
load-nyiso-1315,sub-moses,secondary_feed,sub-reynolds,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). NYISO queue #1315 POI verbatim: ""Moses-Reynolds MRG-1 and Moses-Reynolds MRG-2 at 115kV"" - dual circuits between Moses and Reynolds; the ledger already carries the Reynolds edge as this load's secondary_feed relationship, and this names it from the primary edge. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
load-nyiso-1719,sub-dennison,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). NYISO queue #1719 (ZeroC NY AI Data Center, 300 MW) lists a single POI, Dennison - researched absence of a second feed, workbook-verified. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
load-nyiso-0979,sub-reynolds,backup_power,yes,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). 115 backup diesel generators on site per North Country Now (2026-06-06), quote verified verbatim by the skeptic, incl. NCCS's Carter McLean on revised testing. https://www.northcountrynow.com/stories/mohawks-united-in-safety-and-health-discuss-data-center-concerns-at-meeting-massena,373764",2026-09-07T00:00:00Z
load-nyiso-0979,sub-reynolds,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). NYISO queue #0979 (North Country Data Center, 435 MW, Under Construction) lists a single POI, Reynolds 115kV - researched absence of a second feed, workbook-verified. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
load-nyiso-0580,sub-kintigh,backup_power,yes,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Diesel: the SEQR development application of record for Stream US Data Centers' Project Double Reed at STAMP (rev. 2026-02-18) states verbatim that 12 emergency diesel-powered generators provide backup power for critical IT, networking and house loads. https://www.gcedc.com/file-library/100319/STREAMUSDataCentersLLC.SEQRDevelopmentApplication.2.18.26.II.ProjectDescription.pdf",2026-09-07T00:00:00Z
load-nyiso-0580,sub-kintigh,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Queue #0580 lists one POI ('Kintigh/Niagara - New Rochester 345kV', NYPA) and all service runs through the single on-site STAMP 345/115 kV substation (#1484 is that station's 115 kV side, not a second station). NOTE: this ledger's derived secondary edge to sub-niagara comes from splitting that circuit name on its slash; the research found no second substation documented. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
load-nyiso-849,sub-kintigh,backup_power,yes,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Battery, not diesel: the Lake Mariner campus (Somerset Operating ground-leases to TeraWulf's Lake Mariner Data, per 10-K) runs Schneider Galaxy VX UPS with lithium-ion batteries, and 'what the entire site doesn't have is diesel generators for backup' (The Next Platform, quote verified verbatim). Duration not established - backup_hours left unset. https://www.nextplatform.com/compute/2026/05/28/gpus-and-ram-are-in-short-supply-but-the-real-bottleneck-for-ai-is-electricians/5247566",2026-09-07T00:00:00Z
load-nyiso-849,sub-kintigh,secondary_feed,sub-kintigh,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Dual 345 kV transmission circuits into the site ('dual 345 kilovolt power feeds coming in from separate grids' - Next Platform; 'two 345-kV transmission lines' - Data Center Frontier, both verified verbatim), but the only named POI is Kintigh 345kV - redundant circuits sharing one substation. https://www.datacenterfrontier.com/site-selection/article/55379784/terawulfs-lake-mariner-campus-how-a-retired-coal-plant-became-an-ai-factory-prototype",2026-09-07T00:00:00Z
load-nyiso-1670,sub-kintigh,backup_power,yes,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Battery, not diesel (high confidence): the HPC/AI expansion buildings' electrical fit-out is documented as Schneider Galaxy VX UPS + Galaxy lithium-ion battery systems, and the site explicitly has no diesel generators (Next Platform, verified verbatim). Duration not established - backup_hours left unset. https://www.nextplatform.com/compute/2026/05/28/gpus-and-ram-are-in-short-supply-but-the-real-bottleneck-for-ai-is-electricians/5247566",2026-09-07T00:00:00Z
load-nyiso-1670,sub-kintigh,secondary_feed,sub-kintigh,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Same physical service as Somerset Load #849: dual 345 kV circuits, single named POI 'Kintigh 345kV Substation' (NYSEG) - redundant circuits sharing one substation. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
load-nyiso-1730,sub-haverstock,secondary_feed,none,"Vouched by the user 2026-09-07 from data/review/backup_power_findings.md (skeptic-upheld). Queue #1730 (Arsenal Data Site 1000, Arconic, 467 MW) names a single POI: a tap on ONE circuit, 'Haverstock to Adirondak 345kV line HA-1'. The Haverstock and Adirondack edges of this load are the two ENDS of that one tapped circuit, not two feeds. https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx",2026-09-07T00:00:00Z
