name,operator,address,city,country,lat,lon,geo_precision,facility_type,power_mw_it,ref,utility,note,added
,,"1515 Port Industrial Way, Quincy, WA, USA",,US,47.234367,-119.853505,town,traditional,,,,user-reported known data centre; street not in TIGER or OSM,2026-08-04
OpenAI Project Camellia,OpenAI,"Savannah Gateway Industrial Hub, Rincon, GA, USA",,US,32.251000,-81.236000,exact,ai,3210,,,"Announced Jul 2026: 3.2 GW, Georgia Power 25-yr agreement delivering 3,210 MW phased 2028-2032, ~101 acres of a 2,600-acre park. openai.com/index/building-ai-infrastructure-with-the-effingham-county-community/",2026-08-13
Google Project Tembo,Google,"Switchgrass Industrial Park, Cheyenne, WY, USA",,US,41.033000,-104.755000,exact,ai,2700,,,"Revealed Jul 2026 as Google (subsidiary Jupiter Star Holdings), formerly Project Jade under Crusoe. 2.7 GW with a path to 10 GW, paired with ~2.7 GW of new Tallgrass gas. Reported, not company-confirmed.",2026-08-13
Meta El Paso (BlackRock JV),Meta,"El Paso, TX, USA",,US,31.848000,-106.430000,exact,ai,1000,,,"Announced 28 Jul 2026: 1 GW, ~$14bn, BlackRock funds 80% / Meta 20%, Meta sole tenant, capacity from 2028. about.fb.com/news/2026/07/meta-announces-new-venture-with-blackrock-to-develop-data-center-in-el-paso/",2026-08-13
Meta Sturgeon County,Meta,"Sturgeon County, Alberta, Canada",,CA,53.800000,-113.450000,exact,ai,1000,,,"Broke ground 8 Jul 2026: 1,750 acres, 1 GW scalable to 1.8 GW, C$13bn+. Powered by the Greenlight Electricity Centre, a C$4.6bn gas CCGT in the same county. Meta's first outside the US.",2026-08-13
Justified Data Campus,TeraWulf,"Hawesville, KY, USA",,US,37.899000,-86.754000,exact,ai,401,,,"Announced 6 Jul 2026: 20-yr single-tenant lease to Anthropic, ~401 MW, ~$19bn contracted revenue, phased from 2H 2027. Former aluminium-smelter town. investors.terawulf.com",2026-08-13
Crusoe Childress (with Lancium),Crusoe,"Childress, TX, USA",,US,34.426500,-100.204000,exact,ai,1000,,,"Announced 15 Jul 2026: 1.0 GW grid-connected campus on 270 acres, construction from Q3 2026, closed-loop cooling.",2026-08-13
Treetop East Fishkill Data Center,Treetop Companies,"Donovan Drive, Lime Kiln Corporate Park",Hopewell Junction,US,41.522500,-73.812300,exact,ai,,NYISO #1738,,"Vouched by the user 2026-09-10 from data/review/load_identities.md (research-identified, skeptic-upheld). 1,000 MW filed (Donovan Drive Holdings LLC SPV, POI East Fishkill-Wood Street 345 kV). Four I-1 parcels, 137.7 ac; town data-centre moratorium to 2029, no formal application. https://highlandscurrent.org/2026/07/03/data-centers-face-backlash/",2026-09-10
Arconic Massena Data Center,Arconic (Apollo Global Management),45 County Route 42,Massena,US,44.952400,-74.887500,exact,ai,,NYISO #1728/#1729/#1730,,"Vouched by the user 2026-09-10 from data/review/load_identities.md (research-identified, skeptic-upheld). 933 MW across three 'Arsenal Data Site' filings at Arconic's Massena Operations plant (former Alcoa West); Apollo owns both Arconic and Stream Data Centers. https://www.nny360.com/news/stlawrencecounty/data-centers-descend-on-needy-upstate-ny-towns-is-anyone-looking-out-for-us/article_93198557-09ad-545e-9420-cb9e3036cac3.html",2026-09-10
NCCS Massena,North Country Colocation Services (NYDIG),182-194 County Road 45,Massena,US,44.981600,-74.751200,exact,ai,,NYISO #0979,,"Vouched by the user 2026-09-10 from data/review/load_identities.md (research-identified, skeptic-upheld). 435 MW under construction at the former Reynolds/Alcoa East smelter, 635 MW expansion proposed; 115 backup diesel gensets in the record. https://www.nccs.one/massena",2026-09-10
WNY STAMP Data Center,Stream US Data Centers (GCEDC STAMP),"STAMP, Route 77",Alabama,US,43.085900,-78.397500,exact,ai,,NYISO #0580/#1484,,"Vouched by the user 2026-09-10 from data/review/load_identities.md (research-identified, skeptic-upheld). 300 MW + 300 MW increase; Stream's 'Project Double Reed' SEQR application of record (12 emergency diesel gensets). https://www.gcedc.com/file-library/100319/STREAMUSDataCentersLLC.SEQRDevelopmentApplication.2.18.26.II.ProjectDescription.pdf",2026-09-10
Riverview Innovation & Technology Campus,Riverview Innovation & Technology Campus Inc.,River Road (former Tonawanda Coke site),Tonawanda,US,42.983000,-78.926400,exact,ai,,NYISO #1726,,"Vouched by the user 2026-09-10 from data/review/load_identities.md (research-identified, skeptic-upheld). 300 MW; developer FAQ says no backup generators by design; SEQR paused June 2026. http://riverviewtechcampus.com/future-use",2026-09-10
ZeroC Massena Data Center,ZeroC Data Centers (Petawatt Holdings),417 County Route 42,Massena,US,44.949100,-74.862700,exact,ai,,NYISO #1731/#1213,,"Vouched by the user 2026-09-10 from data/review/load_identities.md (research-identified, skeptic-upheld). 300 MW (NY State AI Data Center, POI Haverstock-Adirondack HA-2) + 200 MW (St Lawrence Data and Agricultural Center); predecessor #1719 at Dennison withdrawn. https://www.interconnection.fyi/project/nyiso-1731",2026-09-10
Ranalli SuperDC,Ranalli Super DC LLC,Hencle Blvd & Oswego Rd,Lysander,US,43.184900,-76.351200,exact,ai,,NYISO #1736,,"Vouched by the user 2026-09-10 from data/review/load_identities.md (research-identified, skeptic-upheld). 270-300 MW, tap of the NYPA Clay-Pannell 345 kV circuits; applied May 2025. https://www.interconnection.fyi/data-center/state/NY",2026-09-10
Pontoon Bridge Road Data Center,American Data Center Partners LLC,466 Pontoon Bridge Road,Massena,US,44.959000,-74.911000,exact,ai,,NYISO #1745,,"Vouched by the user 2026-09-10 from data/review/load_identities.md (research-identified, skeptic-upheld). 250 MW on the former Air Products green-hydrogen parcel. https://www.interconnection.fyi/project/nyiso-1745",2026-09-10
Holtec HI-CLOUD Indian Point,Holtec International,450 Broadway,Buchanan,US,41.261000,-73.953000,exact,ai,,NYISO #1717,,"Vouched by the user 2026-09-10 from data/review/load_identities.md (research-identified, skeptic-upheld). Proposed data centres anchored on the decommissioning Indian Point Energy Center. https://www.interconnection.fyi/project/nyiso-1717",2026-09-10
