queue,asset_id,note,added
849,site-b034c54b77,"Vouched by the user 2026-09-10 from data/review/load_identities.md. research-identified 2026-09-09, skeptic-upheld: Somerset Operating Company, LLC is the owner of the former Somerset/Kintigh coal plant (Paul Prager founded it in 2012; the plant 'would eventually mine bitcoin and change its name to Lake Mariner' - hntrbrk) and is the  | https://www.interconnection.fyi/project/nyiso-849",2026-09-10
1670,site-b034c54b77,"Vouched by the user 2026-09-10 from data/review/load_identities.md. research-identified 2026-09-09, skeptic-upheld: interconnection.fyi record: queue 1670, Lake Mariner Data LLC, 250 MW load, Niagara County, POI Kintigh 345kV Substation, NYSEG, request date Jan 23, 2024, Active In Queue. Lake Mariner Data LLC is a 100%-owned Delaware  | https://www.interconnection.fyi/project/nyiso-1670",2026-09-10
1732,site-b034c54b77,"Vouched by the user 2026-09-10 from data/review/load_identities.md. research-identified 2026-09-09, skeptic-upheld: interconnection.fyi record: queue 1732, TeraWulf Brookings LLC, 250 MW load, Niagara County, POI Kintigh 345kV sub-station, NYSEG, request date Mar 29, 2025, Active In Queue. TeraWulf Brookings LLC is a 100%-owned Delawa | https://www.interconnection.fyi/project/nyiso-1732",2026-09-10
1738,site-b66aebf3a0,Vouched by the user 2026-09-10: this filing is the promoted campus 'Treetop East Fishkill Data Center' (data/review/load_identities.md),2026-09-10
1728,site-4f55e97e99,Vouched by the user 2026-09-10: this filing is the promoted campus 'Arconic Massena Data Center' (data/review/load_identities.md),2026-09-10
1729,site-4f55e97e99,Vouched by the user 2026-09-10: this filing is the promoted campus 'Arconic Massena Data Center' (data/review/load_identities.md),2026-09-10
1730,site-4f55e97e99,Vouched by the user 2026-09-10: this filing is the promoted campus 'Arconic Massena Data Center' (data/review/load_identities.md),2026-09-10
0979,site-ce1dbeb705,Vouched by the user 2026-09-10: this filing is the promoted campus 'NCCS Massena' (data/review/load_identities.md),2026-09-10
0580,site-dcb5e135f7,Vouched by the user 2026-09-10: this filing is the promoted campus 'WNY STAMP Data Center' (data/review/load_identities.md),2026-09-10
1484,site-dcb5e135f7,Vouched by the user 2026-09-10: this filing is the promoted campus 'WNY STAMP Data Center' (data/review/load_identities.md),2026-09-10
1726,site-d5381827c7,Vouched by the user 2026-09-10: this filing is the promoted campus 'Riverview Innovation & Technology Campus' (data/review/load_identities.md),2026-09-10
1731,site-eb4a572344,Vouched by the user 2026-09-10: this filing is the promoted campus 'ZeroC Massena Data Center' (data/review/load_identities.md),2026-09-10
1213,site-eb4a572344,Vouched by the user 2026-09-10: this filing is the promoted campus 'ZeroC Massena Data Center' (data/review/load_identities.md),2026-09-10
1736,site-dfc74ea9b2,Vouched by the user 2026-09-10: this filing is the promoted campus 'Ranalli SuperDC' (data/review/load_identities.md),2026-09-10
1745,site-cb6283f416,Vouched by the user 2026-09-10: this filing is the promoted campus 'Pontoon Bridge Road Data Center' (data/review/load_identities.md),2026-09-10
1717,site-9f5976f614,Vouched by the user 2026-09-10: this filing is the promoted campus 'Holtec HI-CLOUD Indian Point' (data/review/load_identities.md),2026-09-10
1747,site-f24da2b13a,Vouched by the user 2026-09-10: this filing is the promoted campus 'Globe Digital Holdings Niagara Falls' (data/review/load_identities.md),2026-09-10
1748,site-f24da2b13a,Vouched by the user 2026-09-10: this filing is the promoted campus 'Globe Digital Holdings Niagara Falls' (data/review/load_identities.md),2026-09-10
1749,site-f24da2b13a,Vouched by the user 2026-09-10: this filing is the promoted campus 'Globe Digital Holdings Niagara Falls' (data/review/load_identities.md),2026-09-10
1754,site-9c0312d00c,Vouched by the user 2026-09-10: this filing is the promoted campus 'Kenwood Tech Center' (data/review/load_identities.md),2026-09-10
1721,site-960ffbbfd9,Vouched by the user 2026-09-10: this filing is the promoted campus 'Brookhaven Digital Infrastructure Facility' (data/review/load_identities.md),2026-09-10
1733,site-733bb89680,Vouched by the user 2026-09-10: this filing is the promoted campus 'TeraWulf Cayuga (Lake Hawkeye)' (data/review/load_identities.md),2026-09-10
